country_name,country_iso,year,account_ownership_pct,financial_institution_account_pct,mobile_money_account_pct,digital_payment_pct,borrowed_from_financial_institution_pct,source_name,load_timestamp
Belize,BLZ,2024,0.679682002,0.673044577,0.136663451,0.430544838,0.537604075,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Bolivia,BOL,2024,0.568490527,0.534880593,0.199779285,0.336954429,0.480868961,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Brazil,BRA,2024,0.863811782,0.855727692,0.581666157,0.708414919,0.636074463,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Bhutan,BTN,2014,0.33665913,0.33665913,,,0.18382644,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Botswana,BWA,2024,0.614384691,0.416043564,0.516178157,0.562114566,0.589852237,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Central African Republic,CAF,2017,0.137459464,0.137459464,,,0.36662619,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Canada,CAN,2024,0.984047126,0.984047126,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Switzerland,CHE,2024,0.984123097,0.984123097,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Chile,CHL,2024,0.850691778,0.850691778,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
China,CHN,2024,0.89383032,0.89383032,,0.832147927,0.539633082,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Cote d'Ivoire,CIV,2024,0.57567627,0.168252205,0.533817788,0.539377969,0.669569898,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Cameroon,CMR,2024,0.608737909,0.209972994,0.550654518,0.562458145,0.692324966,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
"Congo, Dem. Rep.",COD,2024,0.392140115,0.135068648,0.351182388,0.358637056,0.706986604,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
"Congo, Rep.",COG,2024,0.555760388,0.147200014,0.515921177,0.529683278,0.646733408,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Colombia,COL,2024,0.570594856,0.433789765,0.391465593,0.460045598,0.463127912,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Comoros,COM,2024,0.454593974,0.408476637,0.140937863,0.231367934,0.681546267,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Costa Rica,CRI,2024,0.713527071,0.713527071,,0.575572693,0.37723028,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Cyprus,CYP,2024,0.961259313,0.961259313,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Czechia,CZE,2024,0.922832885,0.922832885,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Germany,DEU,2024,0.982983236,0.982983236,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Djibouti,DJI,2011,0.122738821,0.122738821,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Denmark,DNK,2024,0.986505141,0.986505141,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Dominican Republic,DOM,2024,0.647779639,0.632920319,0.180158284,0.417732053,0.637816786,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Algeria,DZA,2024,0.352901069,0.352901069,,0.1177107,0.341381414,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
East Asia & Pacific (excluding high income),EAP,2024,0.83343266,0.821925209,0.069058118,0.746202981017486,0.533465134,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Europe & Central Asia (excluding high income),ECA,2024,0.778490635,0.775779213,0.106686028,0.61396154,0.551010567,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Ecuador,ECU,2024,0.645052104,0.639477053,0.100848646,0.383949186,0.479547621,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
"Egypt, Arab Rep.",EGY,2024,0.431134368,0.352735535,0.156072041,0.282377388,0.560872486,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Spain,ESP,2024,0.983807416,0.983807416,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Estonia,EST,2024,0.989011091,0.989011091,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Ethiopia,ETH,2024,0.488302768,0.484704021,0.094548896,0.160954994,0.536654503,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Finland,FIN,2024,0.998426818,0.998426818,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
France,FRA,2024,0.991902372,0.991902372,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Gabon,GAB,2024,0.681812563,0.248315312,0.616415501,0.631165575,0.592067953,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
United Kingdom,GBR,2024,0.992843093,0.992843093,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Georgia,GEO,2024,0.788236411,0.788236411,,0.590301255,0.584972551,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Ghana,GHA,2024,0.812430252,0.387411034,0.782813635,0.792804742,0.742406576,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Guinea,GIN,2024,0.36048025,0.169033571,0.258219395,0.29254098,0.755613416,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
"Gambia, The",GMB,2024,0.381609042,0.308469116,0.190885438,0.227662762,0.575547389,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Greece,GRC,2024,0.885519759,0.885519759,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Guatemala,GTM,2024,0.382819484,0.375315801,0.03300105,0.132038886,0.412521779,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
High income,HIC,2024,0.949131387,0.94858257,0.043055753,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
"Hong Kong SAR, China",HKG,2024,0.973080247,0.973080247,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Honduras,HND,2024,0.424429707,0.39273054,0.108892565,0.228849199,0.494050304,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Croatia,HRV,2024,0.926404988,0.926404988,,0.779412258,0.527211809,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Haiti,HTI,2017,0.326211865,0.281889494,0.135171894,,0.39689112,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Hungary,HUN,2024,0.869605631,0.869605631,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Indonesia,IDN,2024,0.563278494,0.523919069,0.220129024,0.373694773,0.476360603,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
India,IND,2024,0.890248225,0.886553603,0.231007554,0.31066887,0.633357171,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Ireland,IRL,2024,0.982929182,0.982929182,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
"Iran, Islamic Rep.",IRN,2024,0.910610045,0.910610045,0.131040105,0.851175735,0.671335532,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Iraq,IRQ,2024,0.301610518,0.282661963,0.118649863,0.19390909,0.729688157,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Iceland,ISL,2024,0.998548358,0.998548358,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Israel,ISR,2024,0.892691974,0.892691974,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Italy,ITA,2024,0.860191093,0.860191093,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Jamaica,JAM,2021,0.733003615,0.72670044,0.126601306,,0.318225033,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Jordan,JOR,2024,0.464573138,0.395770643,0.205639167812616,0.29467966,0.65215713,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Japan,JPN,2024,0.985235592,0.985235592,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Kazakhstan,KAZ,2024,0.870486447,0.84197223,0.488575255,0.779809621,0.62828652,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Kenya,KEN,2024,0.901199174,0.454278444,0.874994113,0.894038659,0.818839859,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
