period_date,period_type,source_file,bulletin_period,deposit_avg_rate_azn_pct,deposit_legal_rate_azn_pct,deposit_individual_rate_azn_pct,loan_avg_rate_azn_pct,loan_legal_rate_azn_pct,loan_individual_rate_azn_pct,deposit_avg_rate_fx_pct,deposit_legal_rate_fx_pct,deposit_individual_rate_fx_pct,loan_avg_rate_fx_pct,loan_legal_rate_fx_pct,loan_individual_rate_fx_pct,country_name,country_iso
2007-03-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,10.45,8.61,11.56,16.32,14.96,19.41,11.69,8.78,11.84,16.84,14.63,21.66,Azerbaijan,AZE
2007-04-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,10.59,8.94,11.66,15.279164069508514,13.55,19.11,12.2,7.22,12.46,16.36,14.04,21.84,Azerbaijan,AZE
2007-05-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,10.92,9.48,11.9,15.46,13.93,18.8,12.37,8.84,12.51,16.37,14.04,22.02,Azerbaijan,AZE
2007-06-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,10.84592396368704,9.656486823105425,11.799299005769463,15.460662861873637,13.95282793777667,18.520654600130104,12.59821815211086,9.135900642078797,12.74592786887335,16.25377445498679,13.966892862542288,21.923498459580696,Azerbaijan,AZE
2007-07-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,11.203611216884898,10.120993689600802,11.94022484865073,15.632173699763165,14.092365100433824,18.670767712327983,12.606299355439848,9.281687612029124,12.751509159271365,16.428767417776815,14.028285067020292,21.940274592463748,Azerbaijan,AZE
2007-08-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,11.307480867067005,10.119706105283349,12.2538635243053,16.846220519952738,15.571299039129764,19.019234533184164,12.667387373114769,9.62602223375782,12.805181752412615,16.767881715478808,14.402135313236462,21.503544108001712,Azerbaijan,AZE
2007-09-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,11.27501998174921,9.626583144808187,12.411341707463139,16.90552732036551,15.428389432473287,19.363010018644523,12.654806257782685,9.900475866762177,12.773002952251325,17.15743487192202,14.734094300103179,21.660173655985304,Azerbaijan,AZE
2007-10-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,11.002403128870975,9.275458498326222,12.38642901690001,17.059301922599047,15.327822139836409,19.980023719993753,12.688912433052959,9.474465458299866,12.821144945261286,17.153924406224622,14.636866746889474,21.77594552204892,Azerbaijan,AZE
2007-11-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,11.218828598850028,9.393691077552386,12.462181043936056,17.14788739472149,15.823324881623162,19.68483354217634,12.734229916902422,8.216801289930512,12.939537236138426,16.974514946360276,14.465433626042154,21.973006711588827,Azerbaijan,AZE
2007-12-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,11.587096953871432,9.967784953851442,12.507081055880906,17.45978710716925,15.79012461485672,20.297341454146896,12.3695433305074,7.704183261214935,12.645460785969638,16.676122147385954,14.150161630515905,21.61641520108263,Azerbaijan,AZE
