period_date,period_type,business_loans_total_mn_azn,large_business_loans_mn_azn,medium_business_loans_mn_azn,small_business_loans_mn_azn,micro_business_loans_mn_azn,country_name,country_iso,real_sector_loans_total_mn_azn,real_sector_overdue_loans_mn_azn,real_sector_overdue_share_pct,trade_and_services_loans_mn_azn,mining_utilities_loans_mn_azn,agriculture_loans_mn_azn,construction_loans_mn_azn,industry_manufacturing_loans_mn_azn,transport_communication_loans_mn_azn,households_loans_mn_azn,real_estate_mortgage_loans_mn_azn,other_sectors_loans_mn_azn,npl_total_mn_azn,npl_business_mn_azn,npl_consumer_mn_azn,npl_mortgage_mn_azn,deposit_avg_rate_azn_pct,deposit_legal_rate_azn_pct,deposit_individual_rate_azn_pct,loan_avg_rate_azn_pct,loan_legal_rate_azn_pct,loan_individual_rate_azn_pct,deposit_avg_rate_fx_pct,deposit_legal_rate_fx_pct,deposit_individual_rate_fx_pct,loan_avg_rate_fx_pct,loan_legal_rate_fx_pct,loan_individual_rate_fx_pct,notices_entered_count,searches_count,source_name,load_timestamp
2007-02-01,monthly,,,,,,Azerbaijan,AZE,2663.49710117,129.88478082,4.876475396310559,673.54309951,239.73402787,133.10883286,172.05884362,189.29286172000002,220.88417112000002,841.29791413,,11.121569519999841,,,,,10.41,8.53,11.81,16.232,14.91,19.03,11.51,7.66,11.75,16.63,14.56,21.07,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2007-03-01,monthly,,,,,,Azerbaijan,AZE,2880.85364878,130.48997767,4.529559414629085,705.42599162,348.31504612,136.40225864,176.94534973,196.26314084,232.19589648,883.7137145300001,83.4084,12.26427315000036,,,,,10.45,8.61,11.56,16.32,14.96,19.41,11.69,8.78,11.84,16.84,14.63,21.66,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2007-04-01,monthly,,,,,,Azerbaijan,AZE,3091.26418261,129.09170431,4.176016564233147,740.16257681,397.72375906,140.07191708000002,189.23269595,211.14186412,242.91248506,961.22581621,,12.38736400999945,,,,,10.59,8.94,11.66,15.279164069508514,13.55,19.11,12.2,7.22,12.46,16.36,14.04,21.84,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2007-05-01,monthly,,,,,,Azerbaijan,AZE,3315.44991535,109.71650685,3.309249412637187,781.64590481,459.8392233,145.50070361,216.14399315000003,225.37826867,244.28758688000002,1047.48991247,,13.630815610000177,,,,,10.92,9.48,11.9,15.46,13.93,18.8,12.37,8.84,12.51,16.37,14.04,22.02,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2007-06-01,monthly,,,,,,Azerbaijan,AZE,3458.49208962,106.28669577,3.073209162137427,805.21722611,424.59048204,152.68519210000002,242.76657958,235.06712525,265.74100705,1136.48750722,126.64571,14.776274500000092,,,,,10.84592396368704,9.656486823105425,11.799299005769463,15.460662861873637,13.95282793777667,18.520654600130104,12.59821815211086,9.135900642078797,12.74592786887335,16.25377445498679,13.966892862542288,21.923498459580696,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2007-07-01,monthly,,,,,,Azerbaijan,AZE,3443.90377202,107.71368219,3.1276623657466835,862.55777506,219.69313585,158.35913916,236.52816991,249.74008945,274.17963833,1246.7164369800003,135.37072,18.401109329999734,,,,,11.203611216884898,10.120993689600802,11.94022484865073,15.632173699763165,14.092365100433824,18.670767712327983,12.606299355439848,9.281687612029124,12.751509159271365,16.428767417776815,14.028285067020292,21.940274592463748,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2007-08-01,monthly,,,,,,Azerbaijan,AZE,3573.00272703,103.08589524,2.885133405025091,912.61713148,167.69609168,165.16409332,255.82276278,255.52799263,259.34234422000003,1341.56379249,129.497,21.037526280000478,,,,,11.307480867067005,10.119706105283349,12.2538635243053,16.846220519952738,15.571299039129764,19.019234533184164,12.667387373114769,9.62602223375782,12.805181752412615,16.767881715478808,14.402135313236462,21.503544108001712,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2007-09-01,monthly,,,,,,Azerbaijan,AZE,3771.25162757,96.30660611,2.5537040648771296,988.80986358,178.69679516,163.90586535,255.21651581999998,270.1670559,278.06630707000005,1411.9887624100002,161.283595,24.801507750000113,,,,,11.27501998174921,9.626583144808187,12.411341707463139,16.90552732036551,15.428389432473287,19.363010018644523,12.654806257782685,9.900475866762177,12.773002952251325,17.15743487192202,14.734094300103179,21.660173655985304,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2007-10-01,monthly,,,,,,Azerbaijan,AZE,4050.01542336,99.72692679,2.462383876732595,1065.40241483,215.65127704,179.93590966,278.59950420999996,289.47983313000003,332.9149522,1496.22856504,154.897,26.810337120000113,,,,,11.002403128870975,9.275458498326222,12.38642901690001,17.059301922599047,15.327822139836409,19.980023719993753,12.688912433052959,9.474465458299866,12.821144945261286,17.153924406224622,14.636866746889474,21.77594552204892,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2007-11-01,monthly,,,,,,Azerbaijan,AZE,4340.28194935,98.18674948,2.262220533730636,1119.76335817,233.54055171,195.90338151999998,317.51357159,300.84869487000003,389.38392948,1596.31234249,154.897,23.760934629999948,,,,,11.218828598850028,9.393691077552386,12.462181043936056,17.14788739472149,15.823324881623162,19.68483354217634,12.734229916902422,8.216801289930512,12.939537236138426,16.974514946360276,14.465433626042154,21.973006711588827,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2007-12-01,monthly,,,,,,Azerbaijan,AZE,4681.77336147,100.26732249,2.1416526334909496,1194.0235844,302.04128283,197.23936623999998,312.34511679,308.04767585999997,469.6348895999999,1657.21590305,171.5556,28.09195221000082,,,,,11.587096953871432,9.967784953851442,12.507081055880906,17.45978710716925,15.79012461485672,20.297341454146896,12.3695433305074,7.704183261214935,12.645460785969638,16.676122147385954,14.150161630515905,21.61641520108263,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2008-01-01,annual,,,,,,Azerbaijan,AZE,7191.25078896,159.79559122,2.2220834164943604,1911.30721994,855.69988688,261.47057494,461.3720637,427.51873171,669.11947629,2334.86644867,197.6211,48.07962078000033,,,,,,,,,,,,,,,,,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2008-01-01,monthly,,,,,,Azerbaijan,AZE,15513.61017843,1306.86195996,8.423970596973298,2426.8794658699994,629.4058279400001,540.2916687400001,466.63706786,1138.5084673100002,1177.51839527,7004.997649350001,1925.6,668.5711677300004,,,,,11.35565519022407,9.679257983431816,12.46616982155176,16.96929147852062,15.12633891885421,20.292233684010192,12.219044809934442,7.67657798339268,12.469371496756848,16.256982802903423,13.715939121794552,21.69727168150602,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2008-02-01,monthly,,,,,,Azerbaijan,AZE,15696.359848159998,1297.79197466,8.26810793849208,2521.77142277,626.24213909,534.28357079,464.59826734,1135.4032957,1172.5300143999998,7099.5349342,1963.391261664,695.9846603599998,,,,,11.392882123181254,9.874118219854633,12.33353833515657,17.490891702654732,15.786021916883252,20.44050551979027,12.14634212163414,7.551508273614022,12.497482621798552,16.16687315302716,13.779342336511304,21.222651679662473,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2008-03-01,monthly,,,,,,Azerbaijan,AZE,15637.419790709999,1386.7515801299999,8.868161107715816,2507.49810199,627.0516272900002,527.47044239,468.44416342,1129.17752469,1168.5521228400003,6960.75299096,1988.981264094,718.373803569998,,,,,11.273999478090209,9.541080660116904,12.315452273240837,17.61890276448513,15.724328348987628,20.79233910760957,10.151489787302468,6.623370681047885,12.673578182570997,16.65347594839002,14.237156990575912,21.305534822520965,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2008-04-01,monthly,,,,,,Azerbaijan,AZE,15146.8,1232.4418596000003,8.136622718747063,2454.8192180700003,623.50596823,583.30684597,457.99721402000006,1137.70551614,1101.51051543,6704.177810810001,1953.817101414,711.6432795699977,,,,,11.510543630316047,9.985189134409994,12.47556650917624,17.711993321030384,15.847810282829984,20.84093711890246,9.83689080027469,5.583616179101249,12.582756939764328,17.86738554678167,16.2038633337294,21.06106591308031,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2008-05-01,monthly,,,,,,Azerbaijan,AZE,14765.7,1084.8214846800004,7.346898427606218,2413.5674556900003,623.17214887,582.94547709,426.51841343,1159.29319097,961.8989958599999,6575.27981574,1939.752568984,807.74608437,,,,,11.603299191621778,9.687601877560484,12.762375816747817,17.889375222893587,16.01048049209755,20.957275051418026,9.514503461100642,5.614700320422403,12.704516116070694,16.61161915465066,14.36543466057634,20.88672910706714,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2008-06-01,monthly,,,,,,Azerbaijan,AZE,14550.656176510003,1065.5159760600002,7.322803611978176,2394.9782242,562.24009227,552.7351518099999,420.78440397,1171.8380441299998,915.73129026,6540.049923569999,1967.35377,808.136446500005,,,,,11.690645823084221,9.8588106809798,12.82204200571012,17.935064714117512,15.864548329663773,21.049363127575205,9.796753479083039,5.687047873389176,12.939102792020952,14.069109331214882,11.512265869145445,20.614822049260397,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2008-07-01,monthly,,,,,,Azerbaijan,AZE,14585.31483529,1062.4228878200001,7.284195780603977,2379.0843462600005,563.81334118,553.34032682,428.79080331,1191.0609771299999,917.7478229399999,6560.54099285,2009.110679564,810.3878274300014,,,,,12.084130701936411,10.50324229235984,12.753043958128348,17.76191877453403,15.552954809268208,20.937368462686617,9.633883160832037,5.108550480728608,12.96577958062622,14.106512004063838,11.522156061526463,21.048598699870862,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2008-08-01,monthly,,,,,,Azerbaijan,AZE,14685.098078150002,1065.4106116100002,7.255045937999063,2395.1543402300003,545.4095941799999,557.72776112,433.14310065000006,1194.9634952499998,901.78172137,6659.583726389998,2030.933476614,813.3188220600018,,,,,11.967396631858911,10.07,12.71,18.21,15.95,21.38,9.52,5.19,12.93,14.1,11.71,21.38,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2008-09-01,monthly,,,,,,Azerbaijan,AZE,14873.658797600001,1069.5053917,7.190600552653355,2495.7417140999996,522.70294926,563.4226996499999,433.73405429,1189.56884322,892.0023223699999,6780.3776128399995,2064.788759764,804.2811113200004,,,,,12.019499788979722,10.48542878065742,12.658594284981852,18.218587417169033,16.00336686477953,21.248820678408247,7.839573708525054,5.152284375804272,12.500065891453298,14.673969347252013,11.920213569523382,21.402859071259268,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2008-10-01,monthly,,,,,,Azerbaijan,AZE,14785.94074823,1006.52323186,6.807299237828268,2546.82416423,512.82735919,552.1823019099999,432.26422625,1228.446872,875.5959433400001,6765.0320762599995,2094.029967654,746.4423360400018,,,,,12.311538100424931,10.925283269726412,12.872609194403255,18.24578702702007,16.1030722872146,21.21464020795542,7.966986757425702,5.128234963047501,12.533432001106886,14.69821305396143,11.978259819080314,21.500656709120733,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
