country_name,country_iso,year,account_ownership_pct,financial_institution_account_pct,mobile_money_account_pct,digital_payment_pct,borrowed_from_financial_institution_pct,source_name,load_timestamp
Kazakhstan,KAZ,2014,0.539074168,0.539074168,,,0.450238906,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Kazakhstan,KAZ,2017,0.586975352,0.586975352,,,0.455868496,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Kazakhstan,KAZ,2021,0.811084645,0.811084645,,,0.473883208,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Kazakhstan,KAZ,2024,0.870486447,0.84197223,0.488575255,0.779809621,0.62828652,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Kenya,KEN,2011,0.423434544,0.423434544,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Kenya,KEN,2014,0.746578329,0.552055402,0.583926337,,0.793950501,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Kenya,KEN,2017,0.815675646,0.557179517,0.729316807,,0.643736214,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Kenya,KEN,2021,0.791951576,0.505732474,0.686586916,,0.761588256,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Kenya,KEN,2024,0.901199174,0.454278444,0.874994113,0.894038659,0.818839859,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Kyrgyz Republic,KGZ,2011,0.037572643,0.037572643,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Kyrgyz Republic,KGZ,2014,0.184706012,0.184706012,,,0.382071964,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Kyrgyz Republic,KGZ,2017,0.399420035,0.382831645,0.031068763,,0.321838994,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Kyrgyz Republic,KGZ,2021,0.45094844,0.409704875,0.114294363,,0.429731124,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Kyrgyz Republic,KGZ,2024,0.722642376,0.699585473,0.310351086,0.591015348,0.628881007,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Cambodia,KHM,2011,0.036597117,0.036597117,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Cambodia,KHM,2014,0.221652658,0.125564942,0.132945547,,0.620573997,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Cambodia,KHM,2017,0.216717841,0.1780216892545709,0.056595087,,0.587125811,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Cambodia,KHM,2021,0.333949916,0.325966339,0.065982333,,0.55023575,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Cambodia,KHM,2024,0.390314429,0.372688785,0.168896941,0.32236086,0.655354059,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
"Korea, Rep.",KOR,2011,0.93046869,0.93046869,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
"Korea, Rep.",KOR,2014,0.943608135,0.943608135,,,0.678764657,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
"Korea, Rep.",KOR,2017,0.948510127,0.948510127,,,0.726251686,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
"Korea, Rep.",KOR,2021,0.986713471,0.986713471,,,0.746614464,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
"Korea, Rep.",KOR,2024,0.968949449,0.96743749,0.601022033,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Kuwait,KWT,2011,0.867732441,0.867732441,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Kuwait,KWT,2014,0.729081838,0.729081838,,,0.638043872,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Kuwait,KWT,2017,0.798401514,0.798401514,,,0.460907923,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Kuwait,KWT,2024,0.744578561,0.744578561,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Latin America & Caribbean (excluding high income),LAC,2011,0.394777033,0.394777033,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Latin America & Caribbean (excluding high income),LAC,2014,0.515667405,0.513063045,0.017104259,,0.423607092,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Latin America & Caribbean (excluding high income),LAC,2017,0.543777324,0.534853502,0.051930481,,0.375863223,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Latin America & Caribbean (excluding high income),LAC,2021,0.671346843,0.650186537,0.219347487,,0.478015227,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Latin America & Caribbean (excluding high income),LAC,2024,0.697191455,0.664234704,0.372803921,0.541133601,0.534172618,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Lao PDR,LAO,2011,0.26773455,0.26773455,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Lao PDR,LAO,2017,0.290564189,0.290564189,,,0.42361193,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Lao PDR,LAO,2021,0.37320029,0.37320029,0.054799821,,0.416466885,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Lao PDR,LAO,2024,0.376501969,0.372299012,0.118384277,0.272647166,0.463380043,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Lebanon,LBN,2011,0.370273272,0.370273272,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Lebanon,LBN,2014,0.469271357,0.469271357,0.006707376,,0.388648093,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Lebanon,LBN,2017,0.447514245,0.447514245,,,0.361577424,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Lebanon,LBN,2021,0.207030978,0.207030978,,,0.311841898,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Lebanon,LBN,2024,0.230438576,0.215510155,0.027158979,0.094999223,0.555514077,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Liberia,LBR,2011,0.188014652,0.188014652,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Liberia,LBR,2017,0.357138397,0.215834358,0.208433919,,0.555669138,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Liberia,LBR,2021,0.516311458,0.285893414,0.362960666,,0.604481793,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Liberia,LBR,2024,0.522139331,0.138832556,0.475292537,0.483566449,0.775105787,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Libya,LBY,2017,0.656675223,0.656675223,,,0.580220982,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Libya,LBY,2024,0.331190908,0.331190908,,0.227030236,0.41709881,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Low income,LIC,2011,0.104091017,0.104091017,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Low income,LIC,2014,0.190874362,0.151917412,0.068218314,,0.532513725,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Low income,LIC,2017,0.319854273,0.234087282,0.15150621,,0.446062237,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Low income,LIC,2021,0.351821647,0.244577498,0.183073127,,0.5125055,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Low income,LIC,2024,0.464432333,0.257597745,0.317694503,0.347266318,0.691770014,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Sri Lanka,LKA,2011,0.685261647,0.685261647,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Sri Lanka,LKA,2014,0.826913823,0.826913823,0.00076636847651658,,0.307080049,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Sri Lanka,LKA,2017,0.736464608,0.735915248,0.024207601,,0.346431068,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Sri Lanka,LKA,2021,0.892707132,0.889256158,0.031264218,,0.419474801,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Sri Lanka,LKA,2024,0.816921294,0.812270146,0.029961648,0.343865834,0.600381178,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Lower middle income,LMC,2011,0.304539943,0.304539943,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Lower middle income,LMC,2014,0.436380019,0.421044096,0.037093964,,0.494289375,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Lower middle income,LMC,2017,0.600091124,0.577553344,0.068291672,,0.446109729,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Lower middle income,LMC,2021,0.621104484,0.584613977,0.137601047,,0.451956337,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Lower middle income,LMC,2024,0.703871704,0.649734164,0.244393827,0.368154092,0.624038271,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
