period_date,period_type,total_exports_ths_usd,exports_yoy_pct,exports_non_cis_ths_usd,exports_non_cis_yoy_pct,exports_cis_ths_usd,exports_cis_yoy_pct,total_imports_ths_usd,imports_yoy_pct,source_file,bulletin_period,country_name,country_iso
2009-01-01,annual,21096820.0,68.97464008691723,20001681.0,69.20024969503417,1095139.0,65.09834249151749,6513875.0,85.99539333614005,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2009-04-01,quarterly,5946514.0,65.996518446297,5896082.0,68.99481130193247,50432.0,10.85362074308736,1792929.0,78.61592778799431,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2009-10-01,quarterly,6306761.0,145.21893384033325,5842321.0,149.6357790685851,464440.0,105.89823335735066,1792300.0,86.21618553388325,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2010-01-01,annual,26476026.0,125.49771008142459,24311243.0,121.54599905877912,2164783.0,197.67198501742703,6745603.0,103.55745236130566,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2010-04-01,quarterly,6888150.0,115.83509262737799,6400978.0,108.56324589786912,487172.0,965.9977791878173,1706833.0,95.19802513094496,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2010-10-01,quarterly,6395830.0,101.41227802987936,5844014.0,100.02897820917407,551816.0,118.81319438463527,2083102.0,116.22507392735591,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2011-01-01,annual,34494880.0,130.28722664043312,31419546.0,129.23874768558727,3075334.0,142.0619988239006,10166471.0,150.71256046346042,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2011-10-01,quarterly,7662967.0,119.81192433194754,7164872.0,122.60189657314304,498095.0,90.26468967916841,2938762.0,141.0762411058124,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2012-01-01,annual,32634038.0,94.60545449063746,31019406.0,98.7264615472165,1614632.0,52.50265499617277,10417471.0,102.46889997522248,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2012-04-01,quarterly,7577848.0,88.31640704214519,7282901.0,93.51360145124605,294947.0,37.227903477837216,2475288.0,93.26786126069912,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2012-10-01,quarterly,7830981.0,102.1925450024775,7339788.0,102.44129971896218,491193.0,98.6143205613387,3120490.0,106.18382842843349,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2013-01-01,annual,31702945.0,97.1468654905654,30053947.0,96.88756451364672,1648998.0,102.12841068429215,10320593.0,99.07004300755912,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2013-10-01,quarterly,7947383.0,101.48642935029469,7357272.0,100.23820851501432,590111.0,120.1383163033675,2519775.0,80.74933744379888,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2014-01-01,annual,28259629.0,89.13881344461846,27321965.0,90.90973974233734,937664.0,56.86265235009381,9332001.0,90.4211705664587,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2014-10-01,quarterly,5327620.0,67.03615517208621,5091992.0,69.2103268711555,235628.0,39.929437004224624,2608351.0,103.51523449514342,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2015-01-01,annual,15586052.0,55.15306658838303,15012423.0,54.94635177228285,573629.0,61.176391543239376,9773629.0,104.73240412211699,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
