country_name,country_iso,year,value,indicator_code,indicator_name,obs_status,decimal_places,source_name,load_timestamp
Iraq,IRQ,2023,44.5370832960822,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Israel,ISR,1996,389.451863978501,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Jamaica,JAM,2023,30.4301048236516,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Jordan,JOR,2023,247.766298681889,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Kazakhstan,KAZ,2023,3.88991077711231,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Kenya,KEN,2023,46.9076574806901,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Kyrgyz Republic,KGZ,2023,62.0475760177515,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Cambodia,KHM,2023,90.7524971543187,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Kiribati,KIR,2023,741.899640463185,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
St. Kitts and Nevis,KNA,2013,638.364816061988,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
"Korea, Rep.",KOR,1999,-1.18198039886286,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Kuwait,KWT,1995,2.51559162437251,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Lao PDR,LAO,2023,67.1675188759754,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Lebanon,LBN,2023,302.607671211237,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Liberia,LBR,2023,102.428325595366,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Libya,LBY,2023,49.2324144794595,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
St. Lucia,LCA,2023,199.958607007959,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Sri Lanka,LKA,2023,37.5395846376619,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Lesotho,LSO,2023,74.5481180179435,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
"Macao SAR, China",MAC,1999,0.748713132539642,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Morocco,MAR,2023,20.4618980784689,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Moldova,MDA,2023,427.778149762534,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Madagascar,MDG,2023,40.1845106508999,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Maldives,MDV,2023,381.197618056687,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Mexico,MEX,2023,3.48129436929561,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Marshall Islands,MHL,2023,3248.47169081709,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
North Macedonia,MKD,2023,226.75215238197,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Mali,MLI,2023,54.3763613066357,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Malta,MLT,2002,27.880970383674,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Myanmar,MMR,2023,21.0726202288057,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Montenegro,MNE,2023,148.122082046367,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Mongolia,MNG,2023,74.7368553514048,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Northern Mariana Islands,MNP,1999,1.82049877598445,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Mozambique,MOZ,2023,87.0332835630557,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Mauritania,MRT,2023,83.5231416893759,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Mauritius,MUS,2023,75.970762247197,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Malawi,MWI,2023,82.0439871307611,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Malaysia,MYS,2023,0.187285863646012,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Namibia,NAM,2023,91.6719169911707,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
New Caledonia,NCL,1999,1439.22723400598,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Niger,NER,2023,49.0281617421713,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Nigeria,NGA,2023,15.7817925654221,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Nicaragua,NIC,2023,85.2601797175668,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Nepal,NPL,2023,39.5067213475248,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Nauru,NRU,2023,3164.75990696957,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Oman,OMN,2010,2.57121994504621,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Pakistan,PAK,2023,16.0146653504465,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Panama,PAN,2023,91.9951913092928,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Peru,PER,2023,17.3218168286015,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Philippines,PHL,2023,16.0385552488963,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Palau,PLW,2023,1623.81324804649,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Papua New Guinea,PNG,2023,66.5173632652428,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
"Korea, Dem. People's Rep.",PRK,2023,0.546002559648267,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Paraguay,PRY,2023,32.6838608110311,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
West Bank and Gaza,PSE,2023,701.515851324341,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
French Polynesia,PYF,1999,1485.6611509119,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Qatar,QAT,1995,7.27166676622124,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Rwanda,RWA,2023,99.4185397556676,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
Saudi Arabia,SAU,2007,-5.85962863288881,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,0,World Bank API,2026-03-18 02:33:55.440978+00:00
